id;vehicleId;userId;started;finished;start-lat;start-lng;finish-lat;finish-lng;duration;distance;price;discount
133458;497;4933;31/10/2018 21:03;31/10/2018 21:10;40.4348793;-3.67455673;40.45154572;-3.67878318;280;2.247987509;0;3.4
133460;1838;22155;31/10/2018 21:04;31/10/2018 21:19;40.41384506;-3.72086334;40.39612198;-3.71214008;769;3.622388601;3.4;0
133465;1700;23365;31/10/2018 21:04;31/10/2018 21:23;40.39671707;-3.7136817;40.40478897;-3.69478822;1005;4.414499283;5.4;0
133466;1747;20833;31/10/2018 21:05;31/10/2018 21:20;40.42889786;-3.66701174;40.4130249;-3.70023656;792;4.611689568;3.4;0
133467;428;12576;31/10/2018 21:05;31/10/2018 21:17;40.42465973;-3.72500181;40.42498779;-3.70403337;619;3.072412491;3.4;0
133469;1873;10771;31/10/2018 21:07;31/10/2018 21:27;40.40621185;-3.68789506;40.46259308;-3.69172764;1093;7.932611942;2.4;3
133464;1826;17153;31/10/2018 21:09;31/10/2018 21:18;40.44869995;-3.71171165;40.45235825;-3.69899607;381;1.710873961;0;3.4
133473;1884;16605;31/10/2018 21:09;31/10/2018 21:13;40.42948914;-3.71582818;40.42527008;-3.7125423;118;0.924833059;3.4;0
133470;412;19890;31/10/2018 21:12;31/10/2018 21:22;40.41854477;-3.68891668;40.43004227;-3.67809868;502;2.921942472;3.4;0
133468;1863;8280;31/10/2018 21:12;31/10/2018 21:27;40.46616745;-3.69787502;40.42709351;-3.69492078;781;5.152501106;3.4;0
133472;474;6866;31/10/2018 21:14;31/10/2018 21:21;40.43360138;-3.66917467;40.42999268;-3.67821884;315;1.157209158;3.4;0
133478;1935;18648;31/10/2018 21:14;31/10/2018 21:27;40.42802048;-3.69552326;40.4208107;-3.70611024;609;1.90922606;3.4;0
133482;1911;5754;31/10/2018 21:15;31/10/2018 21:26;40.42308807;-3.69067168;40.40735626;-3.71010518;562;3.638466597;0;3.4
133481;1833;20580;31/10/2018 21:15;31/10/2018 21:29;40.45293427;-3.70396996;40.42953491;-3.69643331;729;3.618636131;3.4;0
133484;1875;23591;31/10/2018 21:15;31/10/2018 21:41;40.39858627;-3.66999602;40.4205246;-3.72007155;1440;7.199867725;0;7.4
133477;1849;6219;31/10/2018 21:15;31/10/2018 21:30;40.48090363;-3.69152331;40.42909622;-3.70154333;787;6.991847038;2.38;1.02
133476;475;7893;31/10/2018 21:16;31/10/2018 21:26;40.42359543;-3.67923093;40.43825912;-3.66750836;471;2.453669071;3.4;0
133475;1861;7935;31/10/2018 21:17;31/10/2018 21:28;40.39993668;-3.70178604;40.411026;-3.70838571;572;2.160226583;3.4;0
133489;1830;23895;31/10/2018 21:17;31/10/2018 21:20;40.4458847;-3.66814423;40.44173813;-3.67151785;63;0.610304475;0;3.4
133487;1703;17024;31/10/2018 21:18;31/10/2018 21:32;40.40701675;-3.67836571;40.43668747;-3.69458103;730;5.106412888;3.4;0
133485;1850;10887;31/10/2018 21:18;31/10/2018 21:32;40.4360199;-3.69918156;40.4048233;-3.703686;692;5.099298477;0;3.4
133483;1685;10843;31/10/2018 21:18;31/10/2018 21:37;40.39064026;-3.69257212;40.43011856;-3.7005167;995;5.702865124;5.4;0
133480;1828;3188;31/10/2018 21:20;31/10/2018 21:32;40.43305206;-3.71558332;40.4522171;-3.69641399;636;4.040827751;0;3.4
133490;1731;21105;31/10/2018 21:23;31/10/2018 21:44;40.42918396;-3.70352149;40.43540955;-3.69162202;1134;1.84125793;5.4;0
133491;1874;17868;31/10/2018 21:24;31/10/2018 21:34;40.43196106;-3.71653366;40.41943741;-3.69835997;492;2.35108757;3.4;0
133496;1709;23511;31/10/2018 21:27;31/10/2018 21:44;40.42033005;-3.70838881;40.41248703;-3.70258594;913;3.831067801;0;5.4
133495;1894;21320;31/10/2018 21:32;31/10/2018 21:41;40.40728378;-3.69010496;40.42614365;-3.68260741;422;2.636338234;0;3.4
133494;516;10983;31/10/2018 21:34;31/10/2018 21:42;40.43009186;-3.71191454;40.42193222;-3.70940113;402;1.745183706;3.4;0
133502;1678;18240;31/10/2018 21:34;31/10/2018 21:48;40.41748428;-3.67088461;40.38779449;-3.69084525;720;4.680371761;3.4;0
133500;1915;17944;31/10/2018 21:34;31/10/2018 21:36;40.44289398;-3.6710217;40.43962479;-3.67244434;21;0.464032948;0;3.4
133501;1725;20445;31/10/2018 21:34;31/10/2018 21:34;40.472332;-3.69837737;40.47231674;-3.69837379;-105;0.002160335;0;0
133504;1827;21582;31/10/2018 21:35;31/10/2018 21:36;40.42686844;-3.71731997;40.42687607;-3.71733499;-76;0.002098924;0;0
133505;1869;20445;31/10/2018 21:35;31/10/2018 21:41;40.47231674;-3.69882989;40.46294022;-3.70538664;218;1.745887399;3.4;0
133499;1933;19298;31/10/2018 21:36;31/10/2018 21:45;40.41080856;-3.7212851;40.40885544;-3.69888711;390;2.661979675;3.4;0
133509;1870;18004;31/10/2018 21:38;1/11/2018 00:57;40.41062927;-3.69663835;40.41860962;-3.69980335;11798;1.483582139;77.4;0
133506;440;9115;31/10/2018 21:39;31/10/2018 21:48;40.44737244;-3.69860339;40.42879868;-3.70219684;407;2.614145517;0;3.4
133512;1832;21455;31/10/2018 21:41;31/10/2018 21:54;40.45091248;-3.70942497;40.42287064;-3.7118597;648;3.756923676;3.4;0
133508;1697;16001;31/10/2018 21:42;31/10/2018 21:49;40.44828415;-3.70136046;40.43893814;-3.71121526;284;1.875049472;3.4;0
133514;415;21582;31/10/2018 21:44;31/10/2018 21:45;40.42522049;-3.71687627;40.42529297;-3.71687818;-54;0.008350735;0;0
133518;415;21582;31/10/2018 21:46;31/10/2018 21:53;40.42529678;-3.71687913;40.4353447;-3.71156025;339;2.246967554;3.4;0
133519;1700;23365;31/10/2018 21:47;31/10/2018 22:06;40.40480042;-3.69475341;40.41882324;-3.70809078;1067;3.273790121;5.4;0
133520;450;4954;31/10/2018 21:47;31/10/2018 21:53;40.44821167;-3.66807652;40.43580627;-3.67271113;242;1.761113763;3.4;0
133527;403;1892;31/10/2018 21:50;31/10/2018 21:59;40.42161942;-3.72170925;40.43722153;-3.72336245;430;2.796029091;3.4;0
133515;1884;1850;31/10/2018 21:50;31/10/2018 22:00;40.42529678;-3.71231747;40.41387939;-3.71930027;471;2.388600826;3.4;0
133513;451;23382;31/10/2018 21:50;31/10/2018 22:01;40.43676376;-3.69939542;40.44820786;-3.71502161;487;2.286457539;0;3.4
133525;1908;19837;31/10/2018 21:52;31/10/2018 22:04;40.48331833;-3.6891849;40.47327805;-3.71259904;624;3.03015542;3.4;0
133521;506;14400;31/10/2018 21:53;31/10/2018 22:11;40.42435837;-3.70697379;40.45466232;-3.67761922;957;6.553184509;5.4;0
133526;1882;1608;31/10/2018 21:53;31/10/2018 22:09;40.41811371;-3.67637062;40.4455986;-3.70630813;849;5.378922939;3.4;0
133532;415;21582;31/10/2018 21:54;31/10/2018 21:54;40.43532944;-3.71156025;40.43530273;-3.71144533;-93;0.012462508;0;0
133523;1713;10385;31/10/2018 21:55;31/10/2018 22:08;40.43041992;-3.66728258;40.45466232;-3.69369578;692;4.489541054;0;3.4
133533;1849;6999;31/10/2018 21:57;31/10/2018 22:17;40.42898178;-3.70152497;40.42895508;-3.70041466;1082;3.33932662;5.4;0
133534;1898;10802;31/10/2018 21:58;31/10/2018 22:03;40.43470764;-3.68073511;40.42988586;-3.67532229;175;1.030637503;0;3.4
133531;1678;2784;31/10/2018 21:58;31/10/2018 22:17;40.38780975;-3.69096231;40.42420578;-3.70204544;1010;5.471094131;5.4;0
133537;1837;12971;31/10/2018 22:00;31/10/2018 22:10;40.447052;-3.70346999;40.46216202;-3.69456005;484;2.262392759;0;3.4
133538;385;1892;31/10/2018 22:00;31/10/2018 22:15;40.4372406;-3.72348213;40.42681885;-3.69965935;759;2.890459538;3.4;0
133541;1931;2013;31/10/2018 22:04;31/10/2018 22:13;40.4118576;-3.6981051;40.41223526;-3.67545176;434;2.500905275;3.4;0
133542;1891;21491;31/10/2018 22:08;31/10/2018 22:17;40.42878342;-3.66827178;40.4510498;-3.68653345;438;3.50084281;3.4;0
133540;1751;1956;31/10/2018 22:09;31/10/2018 22:19;40.41597748;-3.67443275;40.43500137;-3.67459559;443;2.727137566;3.4;0
133544;386;6871;31/10/2018 22:12;31/10/2018 22:23;40.42553711;-3.71184158;40.42253494;-3.6945498;557;2.458354712;3.4;0
133546;416;15234;31/10/2018 22:14;31/10/2018 22:27;40.42469406;-3.709126;40.45722961;-3.70552158;676;4.1147089;3.4;0
133545;381;11182;31/10/2018 22:17;31/10/2018 22:32;40.46345901;-3.70378828;40.46355438;-3.70358992;780;4.168765545;3.4;0
133548;1700;23365;31/10/2018 22:17;31/10/2018 22:36;40.41881561;-3.70812631;40.38998795;-3.69981074;1018;5.955457687;5.4;0
133551;1904;22808;31/10/2018 22:19;31/10/2018 22:34;40.44161606;-3.70175004;40.41007233;-3.69400501;815;4.782026291;3.4;0
133547;452;16438;31/10/2018 22:20;31/10/2018 22:30;40.4451561;-3.71986461;40.44337082;-3.72077203;490;3.243134022;3.4;0
133559;1696;19898;31/10/2018 22:22;31/10/2018 22:23;40.42715836;-3.67179179;40.42710495;-3.67177486;-68;0.012533576;0;0
133554;415;6641;31/10/2018 22:22;31/10/2018 22:40;40.43527985;-3.71137404;40.4131813;-3.70646;991;4.746780396;5.4;0
133552;406;24228;31/10/2018 22:22;31/10/2018 22:32;40.4345665;-3.71308732;40.42085648;-3.70309639;499;2.376334667;0;3.4
133550;1739;7999;31/10/2018 22:22;31/10/2018 22:29;40.43590927;-3.70845842;40.42981339;-3.7013824;260;1.210777521;3.4;0
133563;1696;19898;31/10/2018 22:23;31/10/2018 22:34;40.42710495;-3.67177296;40.44546127;-3.66293216;510;3.188683033;3.4;0
133557;516;12553;31/10/2018 22:23;31/10/2018 22:39;40.42193604;-3.70928526;40.43434143;-3.67482519;806;4.367845535;3.4;0
133565;466;3393;31/10/2018 22:24;31/10/2018 22:42;40.42388916;-3.70213556;40.46239853;-3.69172668;924;5.466618061;5.4;0
133562;464;20716;31/10/2018 22:26;31/10/2018 22:28;40.42470551;-3.67132545;40.42469788;-3.67123294;-24;0.031040119;0;0
133560;1842;12579;31/10/2018 22:27;31/10/2018 22:32;40.40459824;-3.68142676;40.39896011;-3.67387319;178;1.02253449;3.4;0
133561;515;19154;31/10/2018 22:28;31/10/2018 22:33;40.44198227;-3.70345545;40.43562698;-3.69634509;194;1.393409967;3.4;0
133575;473;9666;31/10/2018 22:29;31/10/2018 22:51;40.42047119;-3.7081964;40.46610641;-3.68855333;1208;7.13330698;7.4;0
133568;435;15399;31/10/2018 22:30;31/10/2018 22:43;40.39858627;-3.68668699;40.44532013;-3.70317698;699;6.144537449;3.4;0
133574;464;20716;31/10/2018 22:30;31/10/2018 22:46;40.42469788;-3.67125344;40.42914581;-3.69623661;830;3.886062622;3.4;0
133571;438;5765;31/10/2018 22:31;31/10/2018 23:08;40.43725204;-3.67753816;40.39844513;-3.69642186;2108;11.71926117;13.4;0
133572;451;21823;31/10/2018 22:31;31/10/2018 22:50;40.44830704;-3.71512508;40.40642929;-3.67958045;1025;8.671730995;0;5.4
133569;425;23002;31/10/2018 22:32;31/10/2018 22:49;40.43527603;-3.7138288;40.47431946;-3.68658996;913;7.111112118;5.4;0
133573;487;10202;31/10/2018 22:33;31/10/2018 22:38;40.42806625;-3.69808936;40.43315125;-3.70420027;132;1.107001066;3.4;0
133578;1696;19898;31/10/2018 22:34;31/10/2018 22:35;40.44547653;-3.6629312;40.44546127;-3.66293192;-89;0.005618533;0;0
133570;1708;16430;31/10/2018 22:35;31/10/2018 22:51;40.44359589;-3.68357348;40.40755081;-3.69403148;829;5.039703369;3.4;0
133567;1713;15775;31/10/2018 22:35;31/10/2018 22:46;40.45459366;-3.69370747;40.43299866;-3.6880579;525;3.759019852;3.4;0
133576;441;4734;31/10/2018 22:36;31/10/2018 22:42;40.42134857;-3.70989513;40.43048477;-3.7159698;257;1.604631424;3.4;0
133579;1899;4019;31/10/2018 22:38;31/10/2018 22:43;40.43646622;-3.71338344;40.43323898;-3.71194434;148;0.494628668;3.4;0
133577;1701;4017;31/10/2018 22:38;31/10/2018 22:43;40.43638992;-3.713346;40.43301773;-3.7117002;128;0.577936471;3.4;0
133582;1884;24070;31/10/2018 22:41;31/10/2018 22:49;40.41387939;-3.71930003;40.41254425;-3.70862675;324;1.442653298;0;3.4
133585;452;2016;31/10/2018 22:43;31/10/2018 22:50;40.44339752;-3.72077012;40.44270325;-3.71404195;297;1.748539448;3.4;0
